frame_name,left_x,left_y,right_x,right_y,left_conf,right_conf,left_source,right_source,status,left_temp,right_temp,adaptive_roi_radius,nostril_spacing_px,reference_nostril_spacing_px
frame_000000.jpg,768.1239624023438,771.6961059570312,612.0581665039062,770.9492797851562,0.005615060683339834,0.9963086247444153,opposite_inferred,detected,opposite_inferred_repair,32.34793851499744,33.15857983964355,20,156.0675827926599,156.0675827926599
frame_000001.jpg,776.1343994140625,759.2791748046875,620.068603515625,758.5323486328125,0.09728258103132248,0.9908345937728882,opposite_inferred,detected,opposite_inferred_repair,31.793633201779706,33.62157698179074,20,156.0675827926599,156.0675827926599
frame_000002.jpg,813.4339599609375,763.3992919921875,657.3681640625,762.6524658203125,0.011136350221931934,0.9671033620834351,opposite_inferred,detected,opposite_inferred_repair,32.45107408587246,33.14904124778442,20,156.0675827926599,156.0675827926599
frame_000003.jpg,808.8604736328125,771.708984375,652.794677734375,770.962158203125,0.0018171309493482113,0.9465071558952332,opposite_inferred,detected,opposite_inferred_repair,31.876139876363133,33.08176809644461,20,156.0675827926599,156.0675827926599
frame_000004.jpg,812.0873107910156,778.2402954101562,656.0215148925781,777.4934692382812,,,opposite_inferred,tracked,opposite_inferred_repair,31.892298599321045,32.88410670858196,20,156.0675827926599,156.0675827926599
frame_000005.jpg,815.3141479492188,784.7716064453125,659.2483520507812,784.0247802734375,0.0008871186873875558,0.9837320446968079,opposite_inferred,detected,opposite_inferred_repair,31.573973798061452,33.26387222543292,20,156.0675827926599,156.0675827926599
frame_000006.jpg,823.7415771484375,758.3737182617188,667.67578125,757.6268920898438,0.00018807841115631163,0.9873428344726562,opposite_inferred,detected,opposite_inferred_repair,31.892732160297932,33.40699060609119,20,156.0675827926599,156.0675827926599
frame_000007.jpg,783.5794067382812,786.1248779296875,627.5136108398438,785.3780517578125,0.9571446180343628,0.4768563508987427,detected,opposite_inferred,opposite_inferred_repair,32.444257040252765,33.065789710016524,20,156.0675827926599,156.0675827926599
frame_000008.jpg,785.741455078125,757.2761840820312,635.6348876953125,755.2671508789062,0.6704011559486389,0.954242467880249,detected,detected,ok,31.800084417497246,33.392982879026604,20,150.1200112771848,156.0675827926599
frame_000009.jpg,817.9303588867188,784.8020629882812,661.8645629882812,784.0552368164062,0.017562897875905037,0.9677256941795349,opposite_inferred,detected,opposite_inferred_repair,32.04050424738998,33.07457180250117,20,156.0675827926599,156.0675827926599
frame_000010.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000011.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000012.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000013.jpg,825.7421875,811.6360473632812,669.6763916015625,810.8892211914062,0.0011184914037585258,0.9270315170288086,opposite_inferred,detected,opposite_inferred_repair,33.933697208710974,32.60625173983668,20,156.0675827926599,156.0675827926599
frame_000014.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000015.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000016.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000017.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000018.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000019.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000020.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000021.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
frame_000022.jpg,,,,,,,missing,missing,no_detection,,,20,,156.0675827926599
